MANDT	STASZ	STLAL	STLKN	STLNR	STLTY	AENNR	DATUV	LKENZ	STVKN
800	00000011	01	00000005	00000031	M		19941110		00000005
800	00000024	02	00000007	00000031	M		19941110		00000007
800	00000071	02	00000007	00000031	M	000000001000	19960201	X	00000007
800	00000031	03	00000007	00000031	M		19941110		00000007
800	00000078	03	00000007	00000031	M	000000001000	19960201	X	00000007
800	00000017	01	00000008	00000031	M		19941110		00000008
800	00000056	01	00000008	00000031	M	000000001000	19960201	X	00000008
800	00000020	02	00000009	00000031	M		19941110		00000009
800	00000022	02	00000010	00000031	M		19941110		00000010
800	00000027	03	00000011	00000031	M		19941110		00000011
800	00000029	03	00000012	00000031	M		19941110		00000012
800	00000047	01	00000017	00000031	M	000000002000	19960301	X	00000017
800	00000044	02	00000017	00000031	M		19941111		00000017
800	00000050	02	00000017	00000031	M	000000002000	19960301	X	00000017
800	00000074	02	00000017	00000031	M	000000001000	19960201	X	00000017
800	00000045	03	00000017	00000031	M		19941111		00000017
800	00000053	03	00000017	00000031	M	000000002000	19960301	X	00000017
800	00000081	03	00000017	00000031	M	000000001000	19960201	X	00000017
800	00000048	01	00000018	00000031	M	000000002000	19960301		00000018
800	00000051	02	00000019	00000031	M	000000002000	19960301		00000019
800	00000054	03	00000020	00000031	M	000000002000	19960301		00000020
800	00000057	01	00000021	00000031	M	000000001000	19960201		00000021
800	00000059	01	00000022	00000031	M		19941110		00000022
800	00000064	01	00000022	00000031	M	000000001000	19960201	X	00000022
800	00000061	01	00000023	00000031	M		19941111		00000023
800	00000062	01	00000023	00000031	M	000000002000	19960301	X	00000023
800	00000067	01	00000023	00000031	M	000000001000	19960201	X	00000023
800	00000065	01	00000024	00000031	M	000000001000	19960201		00000024
800	00000068	01	00000025	00000031	M	000000001000	19960201		00000025
800	00000069	01	00000025	00000031	M	000000002000	19960301	X	00000025
800	00000072	02	00000026	00000031	M	000000001000	19960201		00000026
800	00000075	02	00000027	00000031	M	000000001000	19960201		00000027
800	00000076	02	00000027	00000031	M	000000002000	19960301	X	00000027
800	00000079	03	00000028	00000031	M	000000001000	19960201		00000028
800	00000082	03	00000029	00000031	M	000000001000	19960201		00000029
800	00000083	03	00000029	00000031	M	000000002000	19960301	X	00000029
800	00000003	01	00000001	00000032	M		19941111		00000001
800	00000005	01	00000002	00000032	M		19941111		00000002
800	00000025	02	00000002	00000032	M		19941111		00000002
800	00000037	03	00000002	00000032	M		19941111		00000002
800	00000007	01	00000003	00000032	M		19941111		00000003
800	00000026	02	00000003	00000032	M		19941111		00000003
800	00000038	03	00000003	00000032	M		19941111		00000003
800	00000009	01	00000004	00000032	M		19941111		00000004
800	00000027	02	00000004	00000032	M		19941111		00000004
800	00000039	03	00000004	00000032	M		19941111		00000004
800	00000011	01	00000005	00000032	M		19941111		00000005
800	00000028	02	00000005	00000032	M		19941111		00000005
800	00000040	03	00000005	00000032	M		19941111		00000005
800	00000013	01	00000006	00000032	M		19941111		00000006
800	00000029	02	00000006	00000032	M		19941111		00000006
800	00000041	03	00000006	00000032	M		19941111		00000006
800	00000015	01	00000007	00000032	M		19941111		00000007
800	00000030	02	00000007	00000032	M		19941111		00000007
800	00000042	03	00000007	00000032	M		19941111		00000007
800	00000017	01	00000008	00000032	M		19941111		00000008
800	00000031	02	00000008	00000032	M		19941111		00000008
800	00000043	03	00000008	00000032	M		19941111		00000008
800	00000019	01	00000009	00000032	M		19941111		00000009
800	00000022	02	00000010	00000032	M		19941111		00000010
800	00000024	02	00000011	00000032	M		19941111		00000011
800	00000034	03	00000012	00000032	M		19941111		00000012
800	00000036	03	00000013	00000032	M		19941111		00000013
800	00000003	01	00000001	00000040	M		19941113		00000001
800	00000005	01	00000002	00000040	M		19941113		00000002
800	00000038	02	00000002	00000040	M		19941113		00000002
800	00000056	03	00000002	00000040	M		19941113		00000002
800	00000007	01	00000003	00000040	M		19941113		00000003
800	00000039	02	00000003	00000040	M		19941113		00000003
800	00000057	03	00000003	00000040	M		19941113		00000003
800	00000009	01	00000004	00000040	M		19941113		00000004
800	00000040	02	00000004	00000040	M		19941113		00000004
800	00000058	03	00000004	00000040	M		19941113		00000004
800	00000011	01	00000005	00000040	M		19941113		00000005
800	00000013	01	00000006	00000040	M		19941113		00000006
800	00000015	01	00000007	00000040	M		19941113		00000007
800	00000017	01	00000008	00000040	M		19941113		00000008
800	00000043	02	00000008	00000040	M		19941113		00000008
800	00000061	03	00000008	00000040	M		19941113		00000008
800	00000019	01	00000009	00000040	M		19941113		00000009
800	00000044	02	00000009	00000040	M		19941113		00000009
800	00000062	03	00000009	00000040	M		19941113		00000009
800	00000021	01	00000010	00000040	M		19941113		00000010
800	00000045	02	00000010	00000040	M		19941113		00000010
800	00000063	03	00000010	00000040	M		19941113		00000010
800	00000023	01	00000011	00000040	M		19941113		00000011
800	00000046	02	00000011	00000040	M		19941113		00000011
800	00000064	03	00000011	00000040	M		19941113		00000011
800	00000025	01	00000012	00000040	M		19941113		00000012
800	00000047	02	00000012	00000040	M		19941113		00000012
800	00000065	03	00000012	00000040	M		19941113		00000012
800	00000027	01	00000013	00000040	M		19941113		00000013
800	00000048	02	00000013	00000040	M		19941113		00000013
800	00000066	03	00000013	00000040	M		19941113		00000013
800	00000029	01	00000014	00000040	M		19941113		00000014
800	00000049	02	00000014	00000040	M		19941113		00000014
800	00000067	03	00000014	00000040	M		19941113		00000014
800	00000031	01	00000015	00000040	M		19941113		00000015
800	00000050	02	00000015	00000040	M		19941113		00000015
800	00000068	03	00000015	00000040	M		19941113		00000015
800	00000036	02	00000017	00000040	M		19941113		00000017
800	00000054	03	00000018	00000040	M		19941113		00000018
800	00000071	02	00000019	00000040	M		19941113		00000019
800	00000073	02	00000020	00000040	M		19941113		00000020
800	00000075	02	00000021	00000040	M		19941113		00000021
800	00000077	03	00000022	00000040	M		19941113		00000022
800	00000079	03	00000023	00000040	M		19941113		00000023
800	00000081	03	00000024	00000040	M		19941113		00000024
800	00000083	01	00000025	00000040	M		19941113		00000025
800	00000085	02	00000026	00000040	M		19941113		00000026
800	00000087	03	00000027	00000040	M		19941113		00000027
800	00000090	04	00000028	00000040	M		20090915		00000028
800	00000003	01	00000001	00000044	M		19941114		00000001
800	00000005	01	00000002	00000044	M		19941114		00000002
800	00000007	01	00000003	00000044	M		19941114		00000003
800	00000003	01	00000001	00000045	M		19941114		00000001
800	00000003	01	00000001	00000046	M		19941114		00000001
800	00000003	01	00000001	00000047	M		19941114		00000001
800	00000005	01	00000002	00000047	M		19941114		00000002
800	00000007	01	00000003	00000047	M		19941114		00000003
800	00000009	01	00000004	00000047	M		19941114		00000004
800	00000011	01	00000005	00000047	M		19941114		00000005
800	00000013	01	00000006	00000047	M		19941114		00000006
800	00000003	01	00000001	00000048	M		19941114		00000001
800	00000009	01	00000004	00000049	M		19991012		00000004
800	00000011	01	00000005	00000049	M		19991012		00000005
800	00000013	01	00000006	00000049	M		19991012		00000006
800	00000003	01	00000001	00000050	M		19941114		00000001
800	00000003	01	00000001	00000051	M		19941114		00000001
800	00000003	01	00000001	00000052	M		19941114		00000001
800	00000005	01	00000002	00000052	M		20020214		00000002
800	00000007	01	00000003	00000052	M		20020214		00000003
800	00000003	01	00000001	00000053	M		19941114		00000001
800	00000003	01	00000001	00000054	M		19941114		00000001
800	00000005	01	00000002	00000054	M		20020215		00000002
800	00000007	01	00000003	00000054	M		20020215		00000003
800	00000009	01	00000004	00000054	M		20020215		00000004
800	00000011	01	00000005	00000054	M		20020215		00000005
800	00000013	01	00000006	00000054	M		20020215		00000006
800	00000003	01	00000001	00000055	M		19941114		00000001
800	00000005	01	00000002	00000055	M		19941114		00000002
800	00000007	01	00000003	00000055	M		19941114		00000003
800	00000003	01	00000001	00000056	M		19941114		00000001
800	00000003	01	00000001	00000057	M		19941114		00000001
800	00000003	01	00000001	00000058	M		19941114		00000001
800	00000005	01	00000002	00000058	M		19941114		00000002
800	00000007	01	00000003	00000058	M		19941114		00000003
800	00000011	01	00000005	00000058	M		19941117		00000005
800	00000007	01	00000003	00000059	M		19941114		00000003
800	00000009	01	00000004	00000059	M		19941114		00000004
800	00000011	01	00000005	00000059	M		19941114		00000005
800	00000013	01	00000006	00000059	M		19941114		00000006
800	00000017	01	00000008	00000059	M		19950721		00000008
800	00000003	01	00000001	00000060	M		19941114		00000001
800	00000005	01	00000002	00000060	M		19941114		00000002
800	00000007	01	00000003	00000060	M		19941114		00000003
800	00000009	01	00000004	00000060	M		19941114		00000004
800	00000011	01	00000005	00000060	M		19941114		00000005
800	00000013	01	00000006	00000060	M		19941114		00000006
800	00000015	01	00000007	00000060	M		19941114		00000007
800	00000017	01	00000008	00000060	M		19941114		00000008
800	00000019	01	00000009	00000060	M		19960104		00000009
800	00000003	01	00000001	00000061	M		19941114		00000001
800	00000005	01	00000002	00000061	M		19941114		00000002
800	00000007	01	00000003	00000061	M		19941114		00000003
800	00000009	01	00000004	00000061	M		19941114		00000004
800	00000011	01	00000005	00000061	M		19941114		00000005
800	00000013	01	00000006	00000061	M		19941114		00000006
800	00000015	01	00000007	00000061	M		19941114		00000007
800	00000017	01	00000008	00000061	M		19941114		00000008
800	00000019	01	00000009	00000061	M		19941114		00000009
800	00000021	01	00000010	00000061	M		19941114		00000010
800	00000023	01	00000011	00000061	M		19941114		00000011
800	00000025	01	00000012	00000061	M		19941114		00000012
800	00000027	01	00000013	00000061	M		19941114		00000013
800	00000029	01	00000014	00000061	M		19941114		00000014
800	00000031	01	00000015	00000061	M		19941114		00000015
800	00000033	01	00000016	00000061	M		19941114		00000016
800	00000035	01	00000017	00000061	M		19941114		00000017
800	00000037	01	00000018	00000061	M		19941114		00000018
800	00000039	01	00000019	00000061	M		19941117		00000019
800	00000003	01	00000001	00000075	M		19941117		00000001
800	00000005	01	00000002	00000075	M		19941117		00000002
800	00000007	01	00000003	00000075	M		19941117		00000003
800	00000003	01	00000001	00000076	M		19941118		00000001
800	00000005	01	00000002	00000076	M		19941118		00000002
800	00000007	01	00000003	00000076	M		19941118		00000003
800	00000003	01	00000001	00000078	M		19941118		00000001
800	00000003	01	00000001	00000079	M		19941121		00000001
800	00000003	01	00000001	00000080	M		19941121		00000001
800	00000005	01	00000002	00000080	M		19941121		00000002
800	00000010	02	00000004	00000080	M		19941121		00000004
800	00000012	02	00000005	00000080	M		19941121		00000005
800	00000021	01	00000006	00000080	M		19941121		00000006
800	00000014	02	00000006	00000080	M		19941121		00000006
800	00000022	03	00000006	00000080	M		19941121		00000006
800	00000017	03	00000007	00000080	M		19941121		00000007
800	00000019	03	00000008	00000080	M		19941121		00000008
800	00000003	01	00000001	00000094	M		19941202		00000001
800	00000005	01	00000002	00000094	M		19941202		00000002
800	00000007	01	00000003	00000094	M		19941202		00000003
800	00000009	01	00000004	00000094	M		19941202		00000004
800	00000011	01	00000005	00000094	M		19941202		00000005
800	00000013	01	00000006	00000094	M		19941202		00000006
800	00000015	01	00000007	00000094	M		19941202		00000007
800	00000017	01	00000008	00000094	M		19941202		00000008
800	00000019	01	00000009	00000094	M		19941202		00000009
800	00000021	01	00000010	00000094	M		19941202		00000010
800	00000023	01	00000011	00000094	M		19941202		00000011
800	00000025	01	00000012	00000094	M		19941202		00000012
800	00000027	01	00000013	00000094	M		19941202		00000013
800	00000029	01	00000014	00000094	M		19941202		00000014
800	00000031	01	00000015	00000094	M		19941202		00000015
800	00000033	01	00000016	00000094	M		19941202		00000016
800	00000035	01	00000017	00000094	M		19941202		00000017
800	00000037	01	00000018	00000094	M		19941202		00000018
800	00000039	01	00000019	00000094	M		19941202		00000019
800	00000041	01	00000020	00000094	M		19941202		00000020
800	00000043	01	00000021	00000094	M		19941202		00000021
800	00000003	01	00000001	00000097	M		19941223		00000001
800	00000005	01	00000002	00000097	M		19950110		00000002
800	00000007	01	00000003	00000097	M		19950110		00000003
800	00000009	01	00000004	00000097	M		19950110		00000004
800	00000011	01	00000005	00000097	M		19950110		00000005
800	00000013	01	00000006	00000097	M		19950110		00000006
800	00000015	01	00000007	00000097	M		19950110		00000007
800	00000017	01	00000008	00000097	M		19960916		00000008
800	00000003	01	00000001	00000098	M		19941230		00000001
800	00000003	01	00000001	00000110	M		19950503		00000001
800	00000005	01	00000002	00000110	M		19950503		00000002
800	00000007	01	00000003	00000110	M		19950503		00000003
800	00000009	01	00000004	00000110	M		19950503		00000004
800	00000003	01	00000001	00000111	M		19950503		00000001
800	00000007	01	00000003	00000111	M		19950503		00000003
800	00000003	01	00000001	00000112	M		19950505		00000001
800	00000023	02	00000001	00000112	M		20020111		00000001
800	00000005	01	00000002	00000112	M		19950505		00000002
800	00000007	01	00000003	00000112	M		19950505		00000003
800	00000024	02	00000003	00000112	M		20020111		00000003
800	00000009	01	00000004	00000112	M		19950505		00000004
800	00000011	01	00000005	00000112	M		19950505		00000005
800	00000025	02	00000005	00000112	M		20020111		00000005
800	00000013	01	00000006	00000112	M		19950505		00000006
800	00000015	01	00000007	00000112	M		19950505		00000007
800	00000026	02	00000007	00000112	M		20020111		00000007
800	00000019	01	00000009	00000112	M		20000817		00000009
800	00000021	01	00000010	00000112	M		20000922		00000010
800	00000003	01	00000001	00000114	M		19950505		00000001
800	00000007	01	00000003	00000114	M		19950505		00000003
800	00000003	01	00000001	00000115	M		19950505		00000001
800	00000011	02	00000001	00000115	M		20020111		00000001
800	00000005	01	00000002	00000115	M		19950505		00000002
800	00000012	02	00000002	00000115	M		20020111		00000002
800	00000007	01	00000003	00000115	M		19950505		00000003
800	00000009	01	00000004	00000115	M		19950505		00000004
800	00000003	01	00000001	00000116	M		19950505		00000001
800	00000005	01	00000002	00000116	M		19950505		00000002
800	00000007	01	00000003	00000116	M		19950505		00000003
800	00000009	01	00000004	00000116	M		19950505		00000004
800	00000003	01	00000001	00000120	M		19950505		00000001
800	00000005	01	00000002	00000120	M		19950505		00000002
800	00000007	01	00000003	00000120	M		19950505		00000003
800	00000009	01	00000004	00000120	M		19950505		00000004
800	00000003	01	00000001	00000122	M		19950509		00000001
800	00000043	95	00000001	00000122	M		20080404		00000001
800	00000005	01	00000002	00000122	M		19950509		00000002
800	00000044	95	00000002	00000122	M		20080404		00000002
800	00000007	01	00000003	00000122	M		19950509		00000003
800	00000009	01	00000004	00000122	M		19950509		00000004
800	00000011	01	00000005	00000122	M		19950509		00000005
800	00000013	01	00000006	00000122	M		19950509		00000006
800	00000045	95	00000006	00000122	M		20080404		00000006
800	00000015	01	00000007	00000122	M		19950509		00000007
800	00000046	95	00000007	00000122	M		20080404		00000007
800	00000017	01	00000008	00000122	M		19950509		00000008
800	00000019	01	00000009	00000122	M		19950509		00000009
800	00000021	01	00000010	00000122	M		19950509		00000010
800	00000023	01	00000011	00000122	M		19950509		00000011
800	00000025	01	00000012	00000122	M		19950509		00000012
800	00000047	95	00000012	00000122	M		20080404		00000012
800	00000027	01	00000013	00000122	M		19950509		00000013
800	00000048	95	00000013	00000122	M		20080404		00000013
800	00000029	01	00000014	00000122	M		19950509		00000014
800	00000049	95	00000014	00000122	M		20080404		00000014
800	00000031	01	00000015	00000122	M		19950509		00000015
800	00000033	01	00000016	00000122	M		19950509		00000016
800	00000050	95	00000016	00000122	M		20080404		00000016
800	00000035	01	00000017	00000122	M		19950509		00000017
800	00000037	01	00000018	00000122	M		19950509		00000018
800	00000051	95	00000018	00000122	M		20080404		00000018
800	00000039	01	00000019	00000122	M		19950509		00000019
800	00000052	95	00000019	00000122	M		20080404		00000019
800	00000003	01	00000001	00000140	M		19950524		00000001
800	00000005	01	00000002	00000140	M		19950524		00000002
800	00000007	01	00000003	00000140	M		19950524		00000003
800	00000009	01	00000004	00000140	M		19950524		00000004
800	00000011	01	00000005	00000140	M		19950524		00000005
800	00000013	01	00000006	00000140	M		19950524		00000006
800	00000015	01	00000007	00000140	M		19950524		00000007
800	00000017	01	00000008	00000140	M		19950524		00000008
800	00000021	01	00000010	00000140	M		19950616		00000010
800	00000003	01	00000001	00000141	M		19950524		00000001
800	00000005	01	00000002	00000141	M		19950524		00000002
800	00000007	01	00000003	00000141	M		19950524		00000003
800	00000009	01	00000004	00000141	M		19950607		00000004
800	00000011	01	00000005	00000141	M		19950607		00000005
800	00000003	01	00000001	00000142	M		19950524		00000001
800	00000003	01	00000001	00000143	M		19950524		00000001
800	00000003	01	00000001	00000144	M		19950524		00000001
800	00000005	01	00000002	00000144	M		19950524		00000002
800	00000007	01	00000003	00000144	M		19950524		00000003
800	00000003	01	00000001	00000145	M		19950524		00000001
800	00000005	01	00000002	00000145	M		19950524		00000002
800	00000007	01	00000003	00000145	M		19950524		00000003
800	00000009	01	00000004	00000145	M		19950524		00000004
800	00000003	01	00000001	00000148	M		19950601		00000001
800	00000005	01	00000002	00000148	M		19950601		00000002
800	00000007	01	00000003	00000148	M		19950601		00000003
800	00000009	01	00000004	00000148	M		19950601		00000004
800	00000011	01	00000005	00000148	M		19950601		00000005
800	00000013	01	00000006	00000148	M		19950601		00000006
800	00000015	01	00000007	00000148	M		19950601		00000007
800	00000017	01	00000008	00000148	M		19950601		00000008
800	00000021	01	00000010	00000148	M		19950601		00000010
800	00000023	01	00000011	00000148	M		19960306		00000011
800	00000025	01	00000012	00000148	M		19960306		00000012
800	00000029	01	00000014	00000148	M		20000811		00000014
800	00000031	01	00000015	00000148	M		20000811		00000015
800	00000033	01	00000016	00000148	M		20000811		00000016
800	00000035	01	00000017	00000148	M		20000811		00000017
800	00000037	01	00000018	00000148	M		20000817		00000018
800	00000039	01	00000019	00000148	M		20000817		00000019
800	00000003	01	00000001	00000149	M		19950501		00000001
800	00000005	01	00000002	00000149	M		19950501		00000002
800	00000007	01	00000003	00000149	M		19950501		00000003
800	00000009	01	00000004	00000149	M		19950501		00000004
800	00000003	01	00000001	00000152	M		19950501		00000001
800	00000005	01	00000002	00000152	M		19950501		00000002
800	00000007	01	00000003	00000152	M		19950501		00000003
800	00000009	01	00000004	00000152	M		19950501		00000004
800	00000003	01	00000001	00000153	M		19950607		00000001
800	00000005	01	00000002	00000153	M		19950607		00000002
800	00000007	01	00000003	00000153	M		19950607		00000003
800	00000010	02	00000004	00000153	M		19950817		00000004
800	00000012	02	00000005	00000153	M		19950817		00000005
800	00000014	02	00000006	00000153	M		19950817		00000006
800	00000003	01	00000001	00000154	M		19950607		00000001
800	00000005	01	00000002	00000154	M		19950607		00000002
800	00000007	01	00000003	00000154	M		19950607		00000003
800	00000003	01	00000001	00000162	M		19950609		00000001
800	00000005	01	00000002	00000162	M		19950609		00000002
800	00000007	01	00000003	00000162	M		19950609		00000003
800	00000009	01	00000004	00000162	M		19950609		00000004
800	00000011	01	00000005	00000162	M		19950609		00000005
800	00000013	01	00000006	00000162	M		19950609		00000006
800	00000015	01	00000007	00000162	M		19950609		00000007
800	00000017	01	00000008	00000162	M		19950609		00000008
800	00000019	01	00000009	00000162	M		19950609		00000009
800	00000021	01	00000010	00000162	M		19950609		00000010
800	00000023	01	00000011	00000162	M		19950609		00000011
800	00000025	01	00000012	00000162	M		19950609		00000012
800	00000029	01	00000014	00000162	M		19950609		00000014
800	00000031	01	00000015	00000162	M		19950609		00000015
800	00000033	01	00000016	00000162	M		19950609		00000016
800	00000035	01	00000017	00000162	M		19960102		00000017
800	00000003	01	00000001	00000167	M		19950101		00000001
800	00000005	01	00000002	00000167	M		19950101		00000002
800	00000007	01	00000003	00000167	M		19950101		00000003
800	00000009	01	00000004	00000167	M		19950101		00000004
800	00000011	01	00000005	00000167	M		19950101		00000005
800	00000013	01	00000006	00000167	M		19950101		00000006
800	00000015	01	00000007	00000167	M		19950101		00000007
800	00000017	01	00000008	00000167	M		19950101		00000008
800	00000019	01	00000009	00000167	M		19950101		00000009
800	00000003	01	00000001	00000168	M		19950101		00000001
800	00000005	01	00000002	00000168	M		19950101		00000002
800	00000007	01	00000003	00000168	M		19950101		00000003
800	00000009	01	00000004	00000168	M		19950101		00000004
800	00000011	01	00000005	00000168	M		19950101		00000005
800	00000013	01	00000006	00000168	M		19950101		00000006
800	00000015	01	00000007	00000168	M		19950101		00000007
800	00000017	01	00000008	00000168	M		19950101		00000008
800	00000019	01	00000009	00000168	M		19950101		00000009
800	00000003	01	00000001	00000169	M		19950101		00000001
800	00000005	01	00000002	00000169	M		19950101		00000002
800	00000007	01	00000003	00000169	M		19950101		00000003
