MANDT	MATNR	STLAL	STLAN	STLNR	WERKS	CSLTY	LOSBS	LOSVN
800	400-100	02	1	00000253	3000		0	0
800	400-140	01	1	00000153	1000		0	0
800	400-140	02	1	00000153	1000		0	0
800	400-140	01	1	00000259	3000		0	0
800	400-140	02	1	00000259	3000		0	0
800	400-150	01	1	00000154	1000		0	0
800	400-150	01	1	00000258	3000		0	0
800	400-200	01	1	00000142	1000		0	0
800	400-200	01	1	00001436	1100		0	0
800	400-200	01	1	00000240	3000		0	0
800	400-300	01	1	00000143	1000		0	0
800	400-300	01	1	00000255	3000		0	0
800	400-400	01	1	00000144	1000		0	0
800	400-400	01	1	00000257	3000		0	0
800	400-500	01	1	00000145	1000		0	0
800	400-500	01	1	00000241	3000		0	0
800	500-300	01	1	00000415	1000		0	0
800	500-310	01	1	00000423	1000		0	0
800	501-300	01	1	00000421	1000		0	0
800	501-310	01	1	00000424	1000		0	0
800	60-100C	02	1	00000030	1200		0	0
800	60-100C	01	1	00000281	3200		0	0
800	60-100F	02	1	00000032	1200		0	0
800	60-100F	01	1	00000284	3200		0	0
800	60-100R	01	1	00000168	1200		0	0
800	60-100R	01	1	00000249	3200		0	0
800	60-100Y	01	1	00000171	1200		0	0
800	60-100Y	01	1	00000252	3200		0	0
800	600-300	01	1	00000542	1000		0	0
800	80-100C	03	1	00000030	1200		0	0
800	80-100C	01	1	00000282	3200		0	0
800	80-100F	03	1	00000032	1200		0	0
800	80-100F	01	1	00000285	3200		0	0
800	80-100R	01	1	00000167	1200		0	0
800	80-100R	01	1	00000250	3200		0	0
800	80-100Y	01	1	00000172	1200		0	0
800	80-100Y	01	1	00000254	3200		0	0
800	A-100-100	01	1	00003360	3000		0	0
800	AD-333	01	1	00001706	3000		0	0
800	AD-333-100	01	1	00001704	3000		0	0
800	AD-333-150	01	1	00001705	3000		0	0
800	AI710	01	1	00003003	3000		0	0
800	AI712	01	1	00003002	3000		0	0
800	AI713	01	1	00003001	3000		0	0
800	AI810	01	1	00003000	3000		0	0
800	AI812	01	1	00002999	3000		0	0
800	AI813	01	1	00002998	3000		0	0
800	AI910A	01	1	00002997	3000		0	0
800	AI912	01	1	00002996	3000		0	0
800	AI913	01	1	00002995	3000		0	0
800	AM2-300	01	1	00000197	1000		0	0
800	AM2-301	01	1	00000291	1000		0	0
800	AM2-500	01	1	00000198	1000		0	0
800	AM2-530	01	1	00000213	1000		0	0
800	AM2-700	01	1	00000205	1000		0	0
800	AM2-701	01	1	00000292	1000		0	0
800	AM2-810-F	01	1	00000199	1000		0	0
800	AM2-820-F	01	1	00000200	1000		0	0
800	AM2-830-F	01	1	00000201	1000		0	0
800	AM2-840-F	01	1	00000202	1000		0	0
800	AM2-850-F	01	1	00000203	1000		0	0
800	AM2-GT	01	1	00000196	1000		0	0
800	AM3-200	01	1	00000311	1000		0	0
800	AM3-300	01	1	00000312	1000		0	0
800	AM3-500	01	1	00000315	1000		0	0
800	AM3-530	01	1	00000314	1000		0	0
800	AM3-700	01	1	00000313	1000		0	0
800	AM3-810-F	01	1	00000316	1000		0	0
800	AM3-820-F	01	1	00000317	1000		0	0
800	AM3-830-F	01	1	00000318	1000		0	0
800	AM3-840-F	01	1	00000319	1000		0	0
800	AM3-850-F	01	1	00000320	1000		0	0
800	AM3-GT	01	1	00000309	1000		0	0
800	ANTENNA-1	01	1	00003160	1000		0	0
800	API	01	1	00003682	1100		0	0
800	APO-FG	01	1	00001411	3000		0	0
800	APO-SEMI	01	1	00001409	3100		0	0
800	AS-10	01	1	00000215	1000		0	0
800	AS-100	01	1	00000214	1000		0	0
800	AZ2-000	01	1	00000209	1000		0	0
800	AZ2-100	01	1	00000210	1000		0	0
800	AZ2-300	01	1	00000211	1000		0	0
800	AZ2-320	01	1	00000212	1000		0	0
800	BA900	01	1	00002994	3000		0	0
800	BA901	01	1	00002993	3000		0	0
800	BA904	01	1	00002992	3000		0	0
800	BM-1240	01	1	00002725	1200		0	0
800	BRAKE_SYS	01	1	00003403	1000		0	0
800	BTL-199	01	1	00002622	3100		0	0
800	BULK	01	1	00003684	1100		0	0
800	C-1112	01	1	00000152	1200		0	0
800	C-1112	01	1	00000234	3200		0	0
800	C-1113	01	1	00000417	1200		0	0
800	C-1113	01	1	00000416	3200		0	0
800	C-1114	01	1	00002726	1200		0	0
800	C-200P	01	1	00000079	1100		0	0
800	C-200P	01	1	00000098	3100		0	0
800	C-200V	01	1	00000078	3100		0	0
800	C-201	02	1	00000080	1100		0	0
800	C-201	02	1	00000080	3100		0	0
800	C-202	03	1	00000080	1100		0	0
800	C-202	03	1	00000080	3100		0	0
800	C-900	01	1	00000076	1100		0	0
800	CH-3000	01	1	00002853	3000		100000	1
800	CH-3000	02	1	00002853	3000		100000	1
800	CH-4100	01	1	00003018	3000		100000	1
800	CH_4100	01	1	00000394	1100		0	0
800	CH_4100	01	1	00000394	3100		0	0
800	CH_4101	01	1	00000390	1100		0	0
800	CH_4200	01	1	00000395	1100		0	0
800	CH_4300	01	1	00000367	1100		0	0
800	CH_4301	01	1	00000420	1100		0	0
800	CH_5101	01	1	00000391	1100		0	0
800	CH_5102	01	1	00000403	1100		0	0
800	CH_5103	01	1	00000393	1100		0	0
800	CH_5201	01	1	00000397	1100		0	0
800	CH_5202	01	1	00000396	1100		0	0
800	CMR-100	01	1	00002731	3100		0	0
800	CMR-103	01	1	00002732	3100		0	0
800	CMR-105	01	1	00002729	3100		0	0
800	CMR-30	01	1	00002733	3100		0	0
800	CMR-50	01	1	00002734	3100		0	0
800	CMR-60	01	1	00002735	3100		0	0
800	CMR-70	01	1	00002737	3100		0	0
800	CMR-80	01	1	00002738	3100		0	0
800	CMR-K2	01	1	00002730	3100		0	0
800	CM_CHAIR	01	1	00003694	3000		0	0
800	CM_IPC	01	1	00003696	3000		0	0
800	CM_PARTITION	01	1	00003695	3000		0	0
800	CM_PC	01	1	00003693	3000		0	0
800	COMP01	01	1	00003514	1000		0	0
800	COMP01	01	1	00003471	3000		0	0
800	COMP03	01	1	00003515	1000		0	0
800	COMP03	01	1	00003472	3000		0	0
800	COMP05	01	1	00003516	1000		0	0
800	COMP05	01	1	00003473	3000		0	0
800	COMP109	01	1	00003652	1200		0	0
800	COMP109	01	1	00003651	3000		0	0
800	COMP40-1	01	1	00003487	1000		0	0
800	COMP40-1	01	1	00003482	3000		0	0
800	COMP40-2	01	1	00003488	1000		0	0
800	COMP40-2	01	1	00003483	3000		0	0
800	COMP40-3	01	1	00003489	1000		0	0
800	COMP40-3	01	1	00003484	3000		0	0
800	COMP40-4	01	1	00003490	1000		0	0
800	COMP40-4	01	1	00003485	3000		0	0
800	COMPOUNDA	01	1	00003683	1100		0	0
800	CP-FD1100	01	1	00003047	3000		45000	9000
800	CP-FD1100	02	1	00003047	3000		45000	9000
800	CPC-JP-101	01	1	00002895	5000		0	0
800	CPG-FG1	01	1	00002033	3000		0	0
800	CPG-FG1	01	1	00002038	3100		0	0
800	CPG-FG2	01	1	00002034	3100		0	0
800	CPG-FG3	01	1	00002036	3000		0	0
800	CPG-FG3	01	1	00002037	3100		0	0
800	CPH_4001	01	1	00002876	3000		0	0
800	CPH_4002	01	1	00002877	3000		0	0
800	CPH_4003	01	1	00002874	3000		0	0
800	CPH_4005	01	1	00002875	3000		0	0
800	CPH_4006	01	1	00002873	3000		0	0
800	CPT_D_005	01	1	00002744	3000		0	0
800	CPT_E_001	01	1	00002747	3000		0	0
800	CPT_F_011	01	1	00002748	3000		0	0
800	CP_5001	01	1	00000401	1100		0	0
800	CP_5002	01	1	00000402	1100		0	0
800	D-100	01	1	00000097	1000		0	0
800	DAD-DFT1	01	1	00002787	3000		0	0
800	DAD-DFT2	01	1	00002788	3000		0	0
800	DAD-SUBCONT1	01	1	00002789	3000		0	0
800	DDD-1-201R	01	1	00003064	1000		0	0
800	DDD90-1-201R	01	1	00003084	1000		0	0
800	DDD91-1-201R	01	1	00003085	1000		0	0
800	DDD92-1-201R	01	1	00003086	1000		0	0
800	DDD93-1-201R	01	1	00003087	1000		0	0
800	DDD94-1-201R	01	1	00003088	1000		0	0
800	DDD95-1-201R	01	1	00003089	1000		0	0
800	DDD96-1-201R	01	1	00003090	1000		0	0
800	DDD97-1-201R	01	1	00003091	1000		0	0
800	DDD98-1-201R	01	1	00003092	1000		0	0
800	DDD99-1-201R	01	1	00003093	1000		0	0
800	DH-100	01	1	00002808	3000		0	0
800	DH-100	01	1	00002809	3100		0	0
800	DH-200	01	1	00002810	3000		0	0
800	DPC1	01	1	00000404	1200		0	0
800	DPC1	01	1	00000266	3000		0	0
800	DPC1	01	1	00000594	3800		0	0
800	DPC1100	01	1	00000407	1200		0	0
800	DPC1100	01	1	00000275	3000		0	0
800	DPC1100	01	1	00000596	3800		0	0
800	DPC1101	01	1	00000269	3000		0	0
800	DPC1102	01	1	00000270	3000		0	0
800	DPC1103	01	1	00000271	3000		0	0
800	DPC1104	01	1	00000272	3000		0	0
800	DPC1105	01	1	00000273	3000		0	0
800	DPC1106	01	1	00000274	3000		0	0
800	DPC1107	01	1	00000289	3000		0	0
800	DPC1200	01	1	00000276	3000		0	0
800	DPC1400	01	1	00000428	1200		0	0
800	DPC1400	01	1	00000595	3800		0	0
800	DPC2	01	1	00000146	1000		0	0
800	DPC2	01	1	00000267	3000		0	0
800	DPC2100	01	1	00003605	1000		0	0
800	DPC2100	01	1	00003606	1200		0	0
800	DPC2100	01	1	00002389	3000		0	0
800	DPC2100	01	1	00002262	3200		0	0
800	DPC2200	01	1	00002467	3200		0	0
800	DPC3	01	1	00000388	3000		0	0
800	DPC4000	01	1	00000439	1200		0	0
800	DPC6	02	1	00000404	1200		0	0
800	DPC7700	01	1	00002749	3200		0	0
800	DPC7710	01	1	00002750	3200		0	0
800	DPC9130	01	1	00000405	1200		0	0
800	DPC9140	01	1	00000406	1200		0	0
800	EIC-500	01	1	00002736	3000		0	0
800	EKH-011	01	1	00002781	3000		0	0
800	EKH-011	01	1	00002782	3200		0	0
800	EKH-012	01	1	00002784	3000		0	0
800	EKH-012	01	1	00002783	3200		0	0
800	F101	01	1	00003529	1200		0	0
800	F101	01	1	00003576	3000		0	0
800	FG-01	01	1	00003628	3000		0	0
800	FG-01	02	1	00003628	3000		0	0
800	FG-01	03	1	00003628	3000		0	0
800	GBT-FINISH1	01	1	00003492	1100		0	0
800	GBT-SEMI1	01	1	00003491	1100		0	0
800	GC-001	01	1	00002786	3200		0	0
800	GENERIC	01	1	00003685	1100		0	0
800	GTS-1400-700	01	1	00003044	1000		0	0
800	GTS-14001	01	1	00002855	1000		0	0
800	GTS-14001	02	1	00002855	1000		0	0
800	GTS-14001	01	1	00002855	1100		0	0
800	GTS-14001	02	1	00002855	1100		0	0
800	GTS-14001	01	1	00002855	3000		0	0
800	GTS-14001	02	1	00002855	3000		0	0
800	GTS-14002	01	1	00002856	1000		0	0
800	GTS-14002	01	1	00002856	1100		0	0
800	GTS-14002	01	1	00002856	3000		0	0
800	GTS-14003	01	1	00002862	1000		0	0
800	GTS-14003	01	1	00002862	1100		0	0
800	GTS-14003X	01	1	00002863	1000		0	0
800	GTS-14003X	01	1	00002863	1100		0	0
800	GTS-14004	01	1	00002859	1000		0	0
800	GTS-14004	01	1	00002859	1100		0	0
800	GTS-14004	01	1	00002859	3000		0	0
800	GTS-14005	01	1	00002857	1000		0	0
800	GTS-14005	01	1	00002857	1100		0	0
800	GTS-14008	01	1	00002858	1000		0	0
800	GTS-14008	01	1	00002858	1100		0	0
800	GTS-14009	01	1	00002860	1000		0	0
800	GTS-14009	01	1	00002860	1100		0	0
800	GTS-FERT-01	01	1	00003066	1000		0	0
800	GTS-FERT-02	01	1	00003067	1000		0	0
800	GTS-FERT-03	01	1	00003069	1000		0	0
800	GTS-FERT-10	01	1	00003068	1000		0	0
800	GTS-KMAT-01	01	1	00003065	1000		0	0
800	GTS-N2	01	1	00002924	3000		0	0
800	GTS-N2-001	01	1	00002923	3000		0	0
800	GTS-N2-002	01	1	00002922	3000		0	0
800	GTS-N2-003	01	1	00002921	3000		0	0
800	GTS-N2-004	01	1	00002920	3000		0	0
800	GTS-N2-005	01	1	00002919	3000		0	0
800	GTS-N2-006	01	1	00002918	3000		0	0
800	HANA-01	01	1	00003703	1000		0	0
800	HD-1300	01	1	00000058	1000		0	0
800	HD-1300	01	1	00000356	3000		0	0
800	HELI_001	01	1	00003157	3000		0	0
800	HT-2011	01	1	00003372	3000		0	0
800	HT-F2011-F200	01	1	00003418	1000		0	0
800	HT-F2011-F200	01	1	00003419	3000		0	0
800	HT-F2011-F200	01	1	00003420	5000		0	0
800	HT-MEC2011	01	1	00003375	3000		0	0
800	HT-MEC4962	01	1	00003383	3000		0	0
800	HT-MEC5636	01	1	00003376	3000		0	0
800	HT-MEC5751	01	1	00003378	3000		0	0
800	HT-MEC5752	01	1	00003379	3000		0	0
800	HT-MEC5753	01	1	00003380	3000		0	0
800	HT-MEC5754/4	01	1	00003382	3000		0	0
800	HT-MEC5755/2	01	1	00003384	3000		0	0
800	HT-MEC5756/4	01	1	00003385	3000		0	0
800	HT-MEC5758/4	01	1	00003387	3000		0	0
800	HT-MEC5759/4	01	1	00003374	3000		0	0
800	HT-MEC5902/4	01	1	00003373	3000		0	0
800	HT-MEC5954	01	1	00003386	3000		0	0
800	HT-MEC5962	01	1	00003381	3000		0	0
800	HT-PBA2011	01	1	00003377	3000		0	0
800	HT-S2011600	01	1	00003426	1000		0	0
800	HT-S2011600	01	1	00003427	3000		0	0
800	HT-S2011600	01	1	00003428	5000		0	0
800	HT-S2011990	01	1	00003422	1000		0	0
800	HT-S2011990	01	1	00003423	3000		0	0
800	HT-S2011990	01	1	00003424	5000		0	0
800	IBG-100	01	1	00002286	3000		0	0
800	IBG-100-100	01	1	00002281	3000		0	0
800	IBG-100-300	01	1	00002283	3000		0	0
800	IBG-100-400	01	1	00002284	3000		0	0
800	IBG-100-500	01	1	00002285	3000		0	0
800	IBG-102-200	01	1	00002282	3000		0	0
800	IBG-113	01	1	00002280	3000		0	0
800	IL-FG1	01	1	00002728	3100		0	0
800	IST-018	01	1	00001429	3200		0	0
800	J20001	01	1	00003618	3000		0	0
800	J20011	01	1	00003617	3000		0	0
800	J20012	01	1	00003616	3000		0	0
800	J20013	01	1	00003615	3000		0	0
800	JG-50	01	1	00002306	3000		0	0
800	JG-60	01	1	00002307	3000		0	0
800	JG-S350	01	1	00002308	3000		0	0
800	JG-S450	01	1	00002309	3000		0	0
800	JTE-2002	01	1	00002795	3000		0	0
800	JTE-3001	01	1	00002800	3000		0	0
800	JTE-3002	01	1	00002797	3000		0	0
800	JTE-3003	01	1	00002792	3000		0	0
800	JTE-4001	01	1	00002798	3000		0	0
800	JTE-4002	01	1	00002794	3000		0	0
800	JTE-4003	01	1	00002790	3000		0	0
800	JTE-5000	01	1	00002799	3000		0	0
800	JUICE	01	1	00003681	1000		0	0
800	KR090653	01	1	00000094	1000		0	0
800	L-40C	01	1	00000029	1200		0	0
800	L-40C	01	1	00000260	3200		0	0
800	L-40F	01	1	00000031	1200		0	0
800	L-40F	01	1	00000263	3200		0	0
800	L-40R	01	1	00000176	1200		0	0
800	L-40R	01	1	00000235	3200		0	0
800	L-40Y	01	1	00000175	1200		0	0
800	L-40Y	01	1	00000238	3200		0	0
800	L-60C	03	1	00000029	1200		0	0
800	L-60C	01	1	00000261	3200		0	0
800	L-60F	02	1	00000031	1200		0	0
800	L-60F	01	1	00000264	3200		0	0
800	L-60R	01	1	00000177	1200		0	0
800	L-60R	01	1	00000236	3200		0	0
800	L-60Y	01	1	00000174	1200		0	0
800	L-60Y	01	1	00000239	3200		0	0
800	L-80C	02	1	00000029	1200		0	0
800	L-80C	01	1	00000262	3200		0	0
800	L-80F	03	1	00000031	1200		0	0
800	L-80F	01	1	00000265	3200		0	0
800	L-80R	01	1	00000178	1200		0	0
800	L-80R	01	1	00000237	3200		0	0
800	L-80Y	01	1	00000173	1200		0	0
800	L-80Y	01	1	00000247	3200		0	0
800	L185	01	1	00002867	3000		0	0
800	LBTL-199	01	1	00002623	3100		0	0
800	LES-FG	01	1	00001399	3000		0	0
800	LESHUMFG	01	1	00001418	3000		0	0
800	LLDPEB10918	01	1	00003639	3000		0	0
800	LLDPEB5918	01	1	00003643	3000		0	0
800	LLDPEB7925	01	1	00003644	3000		0	0
800	LLDPEB8921	01	1	00003645	3000		0	0
800	LLDPEC20918	01	1	00003640	3000		0	0
800	LLDPEC28918	01	1	00003641	3000		0	0
800	LLDPEC42930	01	1	00003642	3000		0	0
800	LLDPEM200924	01	1	00003646	3000		0	0
800	LLDPEM500926	01	1	00003647	3000		0	0
800	LLDPER35939	01	1	00003648	3000		0	0
800	LLDPER50935	01	1	00003649	3000		0	0
800	LSL-100	01	1	00002833	3000		0	0
800	LSL-100-100	01	1	00002830	3000		0	0
800	LSL-100-200	01	1	00002831	3000		0	0
800	LSL-100-300	01	1	00002832	3000		0	0
800	LSS-ASSM1	01	1	00002818	1000		0	0
800	LSS-ASSM2	01	1	00002820	1000		0	0
800	LSS-ASSM3	01	1	00002819	1000		0	0
800	LSS-FG1	01	1	00002817	3000		0	0
800	LSS-FG2	01	1	00002821	3000		0	0
800	LSS-FG3	01	1	00002822	3000		0	0
800	M-350	01	1	00002624	1100		0	0
800	MD-FG1	01	1	00002931	3100		0	0
800	MD-SF1	01	1	00002932	3000		0	0
800	MD100	01	1	00003140	3000		0	0
800	MD100-100	01	1	00003137	3000		0	0
800	MD100-103	01	1	00003138	3000		0	0
800	MD100-300	01	1	00003139	3000		0	0
800	MEM-300	01	1	00003623	3000		0	0
800	MEM-450	01	1	00003624	3000		0	0
800	ME_8100	01	1	00003433	1000		0	0
800	ME_8170	01	1	00003432	1000		0	0
800	ME_8171	01	1	00003434	1000		0	0
800	ME_8171_500	01	1	00003463	1000		0	0
800	ME_8172	01	1	00003435	1000		0	0
800	MII_MTL	01	1	00003152	1000		0	0
800	ML-100	01	1	00002314	3000		0	0
800	ML-109	01	1	00002315	3000		0	0
800	ML-200	01	1	00002313	3000		0	0
800	ML-300	01	1	00002312	3000		0	0
800	ML-400	01	1	00002311	3000		0	0
800	ML-500	01	1	00002310	3000		0	0
800	MO100001	01	1	00000206	1000		0	0
800	MX_BULK_01	01	1	00003013	3100		0	0
800	MX_BULK_01	02	1	00003013	3100		0	0
800	N-2110	01	1	00000434	1100		0	0
800	N-2600	01	1	00002576	1100		0	0
800	N-2610	01	1	00002575	1100		0	0
800	NAV-002021	01	1	00003143	3000		0	0
800	NB3000	01	1	00002751	3200		0	0
800	NC-101	01	1	00000491	5000		0	0
800	NC-101-001	01	1	00000495	5000		0	0
800	NC-101-101	01	1	00000492	5000		0	0
800	NC-101-102	01	1	00000493	5000		0	0
800	NC-101-103	01	1	00000494	5000		0	0
800	NC-101-211	01	1	00000505	5000		0	0
800	NC-102	01	1	00000496	5000		0	0
800	NC-102-101	01	1	00000497	5000		0	0
800	NC-102-102	01	1	00000498	5000		0	0
800	NC-102-103	01	1	00000499	5000		0	0
800	NC-103	01	1	00000500	5000		0	0
800	NC-103-102	01	1	00000501	5000		0	0
800	NC-103-103	01	1	00000502	5000		0	0
800	NLM7-2202	01	1	00003048	3200		0	0
800	OM-G3-700	01	1	00001415	3000		0	0
800	OM-GP-700	01	1	00001414	3000		0	0
800	P-100	01	1	00000014	1000		0	0
800	P-100	01	1	00000014	2300		0	0
800	P-100	01	1	00000014	3000		0	0
800	P-101	02	1	00000014	1000		0	0
800	P-101	02	1	00000014	2300		0	0
800	P-101	02	1	00000014	3000		0	0
800	P-102	03	1	00000014	1000		0	0
800	P-102	03	1	00000014	2300		0	0
800	P-102	03	1	00000014	3000		0	0
800	P-103	04	1	00000014	1000		0	0
800	P-103	04	1	00000014	2300		0	0
800	P-103	04	1	00000014	3000		0	0
800	P-104	01	1	00000293	1000		0	0
800	P-104	01	1	00000293	2300		0	0
800	P-104	01	1	00000293	3000		0	0
800	P-105	01	1	00000369	3000		0	0
800	P-106	01	1	00000455	1000		0	0
800	P-106	01	1	00002727	3000		0	0
800	P-107	01	1	00002752	3000		0	0
800	P-108	01	1	00002846	1000		0	0
800	P-108	01	1	00002847	3000		0	0
800	P-109	01	1	00000387	1000		0	0
800	P-109	01	1	00000370	3000		0	0
800	P-110	01	1	00003176	1000		0	0
800	P-112	01	1	00001363	1000		0	0
800	P-112	01	1	00001355	2300		0	0
800	P-112	01	1	00001365	3000		0	0
800	P-113	01	1	00001364	1000		0	0
800	P-113	01	1	00001357	2300		0	0
800	P-113	01	1	00001366	3000		0	0
800	P-121	01	1	00003142	1000		0	0
800	P-200	01	1	00000310	1000		0	0
800	P-303	01	1	00001401	3000		0	0
800	P-400	01	1	00000140	1000		0	0
800	P-400	01	1	00000233	3000		0	0
800	P-401	01	1	00000368	1000		0	0
800	P-401	01	1	00000366	3000		0	0
800	P-402	01	1	00000410	1000		0	0
800	P-402	01	1	00002347	3000		0	0
800	P-403	01	1	00000181	1000		0	0
800	P-500	01	1	00000412	1000		0	0
800	P-501	01	1	00000413	1000		0	0
800	P-600	01	1	00000541	1000		0	0
800	P-700	01	1	00003622	3000		0	0
800	P101	01	1	00003530	1200		0	0
800	P101	01	1	00003574	3000		0	0
800	P182	01	1	00002893	1100		0	0
800	PC6-100	01	1	00001425	3000		0	0
800	PC6-200	01	1	00001427	3000		0	0
800	PC6-S-350	01	1	00001426	3000		0	0
800	PC6-S-450	01	1	00001428	3000		0	0
800	PH-2000	01	1	00001443	3100		0	0
800	PH-2100	01	1	00002348	3100		0	0
800	PH-2200	01	1	00002349	3100		0	0
800	PH-2400	01	1	00002350	3100		0	0
800	PH-2500	01	1	00002351	3100		0	0
800	PH-2600	01	1	00002352	3100		0	0
800	PH-2700	01	1	00002353	3100		0	0
800	PH-4100	01	1	00002718	3100		0	0
800	PH-4100	02	1	00002718	3100		0	0
800	PH-4100	03	1	00002718	3100		20000	15
800	PH-4200	01	1	00002719	3100		0	0
800	PH-4200	02	1	00002719	3100		0	0
800	PH-4200	03	1	00002719	3100		0	0
800	PH-4200	04	1	00002719	3100		0	0
800	PH-4200-1	01	1	00002844	3100		0	0
800	PH-500	01	1	00001448	3100		0	0
800	PH-5000	01	1	00002566	3100		0	0
800	PH-6401	01	1	00002354	3100		0	0
800	PH-6501	01	1	00002355	3100		0	0
800	PH-6601	01	1	00002356	3100		0	0
800	PH-6701	01	1	00002357	3100		0	0
800	PHCT-2500	01	1	00003020	3100		0	0
800	PHCT-2510	01	1	00003025	3100		0	0
800	PHCT-2700	01	1	00003019	3100		0	0
800	PHCT-6501	01	1	00003021	3100		0	0
800	PHCT-6701	01	1	00003022	3100		0	0
800	PHCT-8000	01	1	00003024	3100		0	0
800	PHCT-8100	01	1	00003023	3100		0	0
800	PI-BULK	01	1	00000523	1100		0	0
800	PI-CERM	01	1	00000521	1100		0	0
800	PI-PACK	01	1	00000524	1100		0	0
800	PPP01-1-182	01	1	00003111	1100		0	0
800	PPP02-1-182	01	1	00003112	1100		0	0
800	PPP03-1-182	01	1	00003113	1100		0	0
800	PPP04-1-182	01	1	00003114	1100		0	0
800	PPP05-1-182	01	1	00003115	1100		0	0
800	PPP06-1-182	01	1	00003116	1100		0	0
800	PPP07-1-182	01	1	00003117	1100		0	0
800	PPP08-1-182	01	1	00003118	1100		0	0
800	PPP09-1-182	01	1	00003119	1100		0	0
800	PPP10-1-182	01	1	00003120	1100		0	0
800	PPP20-01	01	1	00003396	1100		0	0
800	PPP20-02	01	1	00003398	1100		0	0
800	PPP20-03	01	1	00003399	1100		0	0
800	PPP20-04	01	1	00003400	1100		0	0
800	PPP20-05	01	1	00003401	1100		0	0
800	PPP20-1-182R	01	1	00003405	1100		0	0
